"id","state","abbr","medcoll","medcoll_com_col","medcoll_white","medcollpos_p50","medcollpos_p50_com_col","medcollpos_p50_white","nohealthinsurance","nohealthinsurance_com_col","nohealthinsurance_white","poc","household_income_avg","household_income_avg_com_col","household_income_avg_white"
"USA","USA",NA,0.1260895,0.1459005,0.1143968,703,738,678,0.0863438,0.1267563,0.0572625,0.4192301,97961.57,84891.7,105178.4
"01","Alabama","AL",0.1640561,0.229521,0.1474348,851,953,806,0.0985492,0.1301786,0.0809974,0.3584671,75922.77,57844.2,85041.99
"02","Alaska","AK",0.0387795,0.043402,0.0364571,455.5,310,486,0.1140533,0.1569709,0.0826863,0.4210992,100518.6,86380.38,107464.9
"04","Arizona","AZ",0.1240148,0.1635088,0.1001965,719,774,686,0.1067932,0.15621,0.0613329,0.4799188,93177.19,78715.77,102244.9
"05","Arkansas","AR",0.1778295,0.2194204,0.1707378,561,606,555,0.0917837,0.1415634,0.0687108,0.3177768,73125.69,59729.54,78277.63
"06","California","CA",0.0775829,0.0849257,0.0645025,712,733,664,0.0700475,0.0887729,0.0340598,0.6574287,120952.8,107349.5,138392.9
"08","Colorado","CO",0.1096287,0.183651,0.0900145,693,611,715,0.0796711,0.1328034,0.0513561,0.348207,110650.5,89610.46,118784.2
"09","Connecticut","CT",0.0952031,0.1368711,0.0766718,490,505,455,0.0515895,0.0940952,0.0264334,0.3725367,120008.8,91375.7,133255.2
"10","Delaware","DE",0.1626036,0.2807924,0.1228965,706,836,639,0.0574171,0.0805678,0.0416041,0.4067954,95632.74,80522.64,103335
"11","District of Columbia","DC",0.0606075,0.0872483,0.0263158,599,630,523,0.0367087,0.0493208,0.0147692,0.635754,138855.7,94120.61,204751.8
"12","Florida","FL",0.1436702,0.1511893,0.1299093,915,925,883,0.121051,0.154493,0.0891858,0.4885558,89572.91,77770.77,98014.18
"13","Georgia","GA",0.1733211,0.1950514,0.1597904,855,819,871,0.1263088,0.157952,0.0950737,0.4977367,92425.16,76505.3,105718.3
"15","Hawaii","HI",0.0499284,0.050549,0.0454545,339,333,NA,0.0394163,0.038687,0.0423732,0.792206,111751.2,110418.5,115079.5
"16","Idaho","ID",0.1114999,0.1913876,0.1086107,809,NA,822.5,0.0882954,0.1680896,0.0666474,0.2132896,89955.23,76829.18,92589.18
"17","Illinois","IL",0.1358075,0.1979039,0.1142316,641,649,640,0.0700341,0.1087448,0.0431515,0.4106559,99873.84,81673.82,109586.8
"18","Indiana","IN",0.1599449,0.2523156,0.1488228,748,735,756,0.0751946,0.108208,0.0651736,0.2337397,82642.7,70470.2,85597.1
"19","Iowa","IA",0.0887486,0.2064057,0.0851249,526,603,526,0.048009,0.0968245,0.0379918,0.170246,86498.74,71712.95,88643.7
"20","Kansas","KS",0.1676568,0.2887915,0.1474378,849,763,831,0.0916113,0.1604709,0.0666424,0.2663518,86579.72,73924.11,89976.58
"21","Kentucky","KY",0.1711074,0.3816024,0.1641463,491,596,479,0.0566316,0.0991091,0.0478347,0.1734411,76234.4,62350.71,78694.55
"22","Louisiana","LA",0.1806395,0.222368,0.1636293,726,735.5,711,0.0764663,0.1007417,0.0583045,0.4310904,75589.84,54807.97,89466.09
"23","Maine","ME",0.1545627,NA,0.1546877,825,NA,826,0.0572086,0.0798005,0.0547262,0.0996125,87755.97,86476.59,87863.45
"24","Maryland","MD",0.1037421,0.1320848,0.0883323,508,550,464,0.0609425,0.0895983,0.0297998,0.5216159,119957.5,103014.9,135016.4
"25","Massachusetts","MA",0.0403454,0.0619961,0.0359367,408,453.5,389,0.0249642,0.0421257,0.0166675,0.3252112,124788.6,103289.1,132685.3
"26","Michigan","MI",0.1262691,0.1848498,0.1164058,439.5,440,438,0.0497896,0.0669525,0.0434466,0.2714228,86093.3,71462.66,90594.08
"27","Minnesota","MN",0.0241599,0.0377358,0.0231133,418,423.5,418,0.0445552,0.0810427,0.0335906,0.2313883,103304.9,88235.68,106434.4
"28","Mississippi","MS",0.160184,0.1943803,0.1412744,719,812,683,0.118853,0.145583,0.0975931,0.4456473,68047.63,50044.38,80923.63
"29","Missouri","MO",0.1636721,0.3161901,0.1460433,767,950,728,0.0941563,0.1332784,0.082259,0.2344033,84920.05,66616.25,89665.22
"30","Montana","MT",0.1104992,0.2659817,0.1050017,701.5,763,696,0.0821611,0.1487963,0.0693777,0.1619358,87083.16,76102.78,88556.72
"31","Nebraska","NE",0.0607809,0.0995459,0.0551492,653,530,643,0.0710695,0.1434523,0.048887,0.2357523,89208.63,75181.84,92236.59
"32","Nevada","NV",0.1590844,0.1918258,0.1305299,806,754.5,892,0.1164494,0.1552611,0.0691784,0.5482633,89960.75,79272.04,98985.61
"33","New Hampshire","NH",0.0621062,NA,0.0620645,500,NA,499.5,0.0513585,0.0884867,0.0459667,0.1274896,111907.7,114974.5,111585.6
"34","New Jersey","NJ",0.11027,0.1610911,0.0828202,472,492,457,0.0716667,0.114824,0.0321473,0.4789325,124950.7,107094.9,137984.3
"35","New Mexico","NM",0.1609344,0.177013,0.0993163,700,683,714.5,0.0997075,0.1299707,0.0429653,0.6508701,76989.21,65779.29,91761.87
"36","New York","NY",0.0556699,0.0516834,0.0589009,456,418,471,0.052007,0.0757865,0.0313348,0.4654313,109731.8,90181.61,122988.3
"37","North Carolina","NC",0.2029009,0.2546649,0.17864,742,732,761,0.104206,0.150948,0.0744152,0.3907093,86803.97,68225.48,96579.41
"38","North Dakota","ND",0.0685091,0.1246106,0.0668629,629,526,633,0.0785218,0.1568026,0.0619313,0.1772906,86665.54,77081.09,88100
"39","Ohio","OH",0.1494514,0.208521,0.1412743,607,659,598.5,0.0652566,0.091376,0.0573296,0.2344733,84572.28,65648.37,89566.23
"40","Oklahoma","OK",0.2145801,0.3243273,0.1941775,893,1027,853,0.1377177,0.1966814,0.1028843,0.3716085,75430.3,63277.49,80946.38
"41","Oregon","OR",0.0478134,0.08125,0.0448193,599,NA,604,0.0607258,0.0941259,0.0477911,0.2795359,95662.49,89760.23,97340.71
"42","Pennsylvania","PA",0.0935524,0.1310041,0.0877829,500,528.5,498,0.0549479,0.0820406,0.0452944,0.2644664,93835.26,77586.2,98475.45
"44","Rhode Island","RI",0.0510619,0.0659654,0.0393254,526,429,474,0.04345,0.0752528,0.0289975,0.3112932,99143.57,71487.3,108182.1
"45","South Carolina","SC",0.2225539,0.2829753,0.1962637,860,805,917.5,0.1003831,0.1375728,0.0783602,0.3740334,81580.15,60441.18,92318.22
"46","South Dakota","SD",0.0316888,0.079918,0.0296508,682,1009,645.5,0.0949132,0.2216183,0.0637023,0.1999719,86194.05,78779.73,87355.38
"47","Tennessee","TN",0.17627,0.1954515,0.1736481,888,798,921,0.0998307,0.150693,0.0803288,0.2788872,83777.2,67814.88,89045.18
"48","Texas","TX",0.1881915,0.2087318,0.1693974,835,884,832,0.179725,0.2314894,0.0999273,0.6062299,93667.53,77423.3,112867
"49","Utah","UT",0.1224023,0.2225339,0.1144467,980,852,988,0.0902793,0.1832961,0.0610005,0.2398322,105075.5,85586.09,109906.8
"50","Vermont","VT",0.0471082,NA,0.0470876,481.5,NA,479,0.0365675,0.0398663,0.0362268,0.093728,94496.06,85213.23,95248.59
"51","Virginia","VA",0.1442176,0.1942285,0.1292093,690,774,651,0.0682509,0.1032943,0.0443407,0.4076033,111287.3,97981.48,118695.2
"53","Washington","WA",0.049685,0.0709731,0.0440262,551,551,540,0.0640626,0.1010196,0.0436322,0.35698,116349.2,115588.9,116655.2
"54","West Virginia","WV",0.2396552,NA,0.2396459,553,NA,553.5,0.0608336,0.0771499,0.0591433,0.0964419,72293.91,62584,73143.76
"55","Wisconsin","WI",0.1135481,0.2407974,0.1021897,943,849,964,0.0535607,0.0996582,0.0414358,0.2102413,88304.15,73540.7,91104.74
"56","Wyoming","WY",0.1677527,0.4237288,0.1661046,1515,906.5,1526,0.1215832,0.218146,0.0997602,0.1845136,86911.25,64957.79,90762.2
